date,day_name,month,month_num,year,season,hour,temperature,humidity,rainfall,wind_speed,wind_direction,aqi,heat_index,evapotranspiration,dew_point,water_deficit,alert_level,overall_status,latitude,longitude,station_id,location,source
2024-01-01,Monday,January,1,2024,Dry (Dec-Feb),12,27.6,47.3,5.7,14.0,SE,53,24.55,0.76,35.97,0.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-02,Tuesday,January,1,2024,Dry (Dec-Feb),12,22.6,70.0,0.0,8.0,SE,77,20.01,0.51,34.69,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-03,Wednesday,January,1,2024,Dry (Dec-Feb),12,21.7,51.3,0.0,12.3,NE,69,18.73,0.63,30.39,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-04,Thursday,January,1,2024,Dry (Dec-Feb),12,27.3,47.0,0.0,6.8,W,41,24.25,0.76,35.59,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-05,Friday,January,1,2024,Dry (Dec-Feb),12,23.3,58.3,0.6,22.5,NE,87,20.47,0.61,33.35,4.4,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-06,Saturday,January,1,2024,Dry (Dec-Feb),12,27.6,54.5,0.0,7.7,SE,61,24.7,0.7,37.29,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-07,Sunday,January,1,2024,Dry (Dec-Feb),12,21.8,46.3,0.3,20.8,W,54,18.73,0.67,29.62,4.7,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-08,Monday,January,1,2024,Dry (Dec-Feb),12,18.5,69.1,0.0,14.6,S,61,15.89,0.46,30.05,5.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-09,Tuesday,January,1,2024,Dry (Dec-Feb),12,26.5,53.6,0.0,10.8,NE,80,23.58,0.69,35.94,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-10,Wednesday,January,1,2024,Dry (Dec-Feb),12,24.5,48.7,0.9,10.8,NE,80,21.48,0.7,32.92,4.1,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
