timestamp,sensor_id,parameter,value,unit,alert_level
19:36:25.313,SENSOR-TEMP,TEMP,27.38,C,NORMAL
19:36:25.313,SENSOR-HUMID,HUMIDITY,80.33,%,NORMAL
19:36:25.313,SENSOR-RAIN,RAINFALL,0.62,mm,NORMAL
19:36:25.313,SENSOR-WIND,WIND,40.09,km/h,WARNING
19:36:25.314,SENSOR-AQI,AQI,148.24,AQI,WARNING
19:36:25.314,SENSOR-SOIL,SOIL_MOIST,11.76,%,CRITICAL
19:36:25.314,SENSOR-UV,UV_INDEX,4.43,UV,NORMAL
19:36:25.315,SENSOR-RAIN,RAINFALL,25.11,mm,CRITICAL
19:36:25.315,SENSOR-TEMP,TEMP,22.47,C,NORMAL
19:36:25.316,SENSOR-UV,UV_INDEX,2.35,UV,NORMAL
19:36:25.317,SENSOR-SOIL,SOIL_MOIST,62.19,%,NORMAL
19:36:25.317,SENSOR-HUMID,HUMIDITY,41.6,%,NORMAL
19:36:25.319,SENSOR-WIND,WIND,51.71,km/h,CRITICAL
19:36:25.319,SENSOR-AQI,AQI,102.4,AQI,WARNING
19:36:25.320,SENSOR-TEMP,TEMP,36.84,C,CRITICAL
19:36:25.320,SENSOR-RAIN,RAINFALL,38.78,mm,CRITICAL
19:36:25.320,SENSOR-HUMID,HUMIDITY,71.34,%,NORMAL
19:36:25.321,SENSOR-AQI,AQI,172.86,AQI,CRITICAL
19:36:25.322,SENSOR-UV,UV_INDEX,7.4,UV,WARNING
19:36:25.322,SENSOR-TEMP,TEMP,29.63,C,NORMAL
19:36:25.322,SENSOR-SOIL,SOIL_MOIST,55.61,%,NORMAL
19:36:25.323,SENSOR-RAIN,RAINFALL,32.43,mm,CRITICAL
19:36:25.324,SENSOR-WIND,WIND,54.89,km/h,CRITICAL
19:36:25.325,SENSOR-SOIL,SOIL_MOIST,27.93,%,WARNING
19:36:25.325,SENSOR-UV,UV_INDEX,1.48,UV,NORMAL
19:36:25.325,SENSOR-HUMID,HUMIDITY,81.62,%,NORMAL
19:36:25.326,SENSOR-AQI,AQI,180.81,AQI,CRITICAL
19:36:25.328,SENSOR-TEMP,TEMP,20.5,C,NORMAL
19:36:25.328,SENSOR-RAIN,RAINFALL,22.68,mm,NORMAL
19:36:25.329,SENSOR-SOIL,SOIL_MOIST,79.68,%,NORMAL
