day,temperature,humidity,rainfall,wind_speed,wind_direction,aqi
Monday,27.6,47.3,5.7,14.0,SE,53
Tuesday,22.6,70.0,0.0,8.0,SE,77
Wednesday,21.7,51.3,0.0,12.3,NE,69
Thursday,27.3,47.0,0.0,6.8,W,41
Friday,23.3,58.3,0.6,22.5,NE,87
Saturday,27.6,54.5,0.0,7.7,SE,61
Sunday,21.8,46.3,0.3,20.8,W,54
Monday,18.5,69.1,0.0,14.6,S,61
Tuesday,26.5,53.6,0.0,10.8,NE,80
Wednesday,24.5,48.7,0.9,10.8,NE,80
Thursday,25.3,64.9,0.0,18.9,N,64
Friday,16.8,56.5,3.7,10.3,SE,87
Saturday,23.1,54.9,0.0,10.7,S,43
Sunday,28.3,69.5,0.0,8.6,NW,61
Monday,20.5,54.9,0.0,22.7,NW,80
Tuesday,19.2,52.4,0.0,18.2,E,54
Wednesday,30.2,45.2,0.0,5.3,E,81
Thursday,24.8,66.7,0.0,14.6,E,69
Friday,30.0,59.8,0.0,7.9,N,88
Saturday,21.6,55.9,0.0,23.9,NW,72
Sunday,25.2,69.9,0.0,24.4,S,77
Monday,24.9,66.4,0.0,20.4,SW,83
Tuesday,26.0,55.8,0.0,20.3,SW,82
Wednesday,30.2,51.1,0.0,5.8,NE,47
Thursday,24.9,67.6,0.0,17.6,SE,45
Friday,17.7,56.4,0.0,8.7,SW,82
Saturday,22.0,69.2,0.0,12.5,N,68
Sunday,23.7,69.2,0.0,6.1,E,79
Monday,19.6,52.3,0.0,11.6,SW,46
Tuesday,23.3,50.4,0.0,21.5,E,69
Wednesday,28.5,58.6,0.0,16.8,E,85
Thursday,26.1,62.3,0.0,27.9,N,107
Friday,25.4,49.7,0.0,16.4,SW,65
Saturday,30.8,59.9,0.0,22.6,S,52
Sunday,19.1,54.2,0.0,5.9,W,52
Monday,25.5,62.3,0.0,18.0,S,42
Tuesday,27.4,57.3,3.9,11.2,SE,60
Wednesday,23.1,49.3,0.0,11.0,S,65
Thursday,27.6,58.7,0.0,26.8,E,114
Friday,29.8,53.4,0.0,13.8,SW,78
Saturday,20.8,60.6,0.0,5.4,N,66
Sunday,22.4,64.8,0.0,27.5,NW,83
Monday,28.3,67.2,0.0,25.1,E,75
